"Filepath","Optimistic","CPM","PERT","PERT.SD","PERT..99..","BB.2.Mean","BB.2.SD","BB.2..99..","Lognormal.Mean","Lognormal.SD","Lognormal..99..","Pessimistic","Sim.Min","Sim.Mean","Sim.SD","Sim.Mode","Sim.Median","Sim.Skewness","Sim.99.","Sim.Max","Sim.Time..Seconds.","source_file","a...ml..","b...ml..","Activity.Distribution","Number.of.Simulations","Number.of.Paths","Average.Nodes.Path","SP","LA","AD","TF"
"Set 2.2 AD (mid SP)_EV131",33.5,67,72.583,5.09,95.79,76.306,8.375,96.07,76.219,17.919,100.349,134,51.407,78.168,6.349,51.407,78.031,0.115,93.345,107.846,2.149,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV132",43,86,93.167,6.53,122.95,97.944,10.75,123.31,97.834,23,128.806,172,65.145,100.659,8.041,65.145,100.501,0.113,119.873,143.293,5.698,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV133",41,82,88.833,5.99,117.23,93.389,10.25,117.58,93.283,21.931,122.815,164,64.729,95.663,7.466,64.729,95.539,0.101,113.442,132.016,3.478,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV134",39,78,84.5,5.74,111.52,88.833,9.75,111.84,88.733,20.861,116.824,156,63.23,91.5,7.107,63.23,91.376,0.103,108.416,127.398,9.655,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV135",39.5,79,85.583,5.79,112.94,89.972,9.875,113.28,89.871,21.128,118.322,158,61.187,92.171,7.223,61.187,92.041,0.101,109.377,128.358,4.044,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV136",42,84,91,6.02,120.09,95.667,10.5,120.45,95.559,22.465,125.811,168,66.694,98.14,7.457,66.694,98.002,0.105,115.93,138.714,12.346,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV137",44,88,95.333,6.28,125.81,100.222,11,126.18,100.109,23.535,131.802,176,71.106,102.665,7.838,71.106,102.535,0.096,121.318,140.084,2.406,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV138",42,84,91,6.42,120.09,95.667,10.5,120.45,95.559,22.465,125.811,168,66.58,98.698,7.773,66.58,98.537,0.121,117.318,137.726,18.148,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV139",46.5,93,100.75,6.78,132.96,105.917,11.625,133.35,105.797,24.872,139.29,186,74.444,108.506,8.447,74.444,108.363,0.1,128.608,148.788,2.47,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV140",32,64,69.333,4.56,91.5,72.889,8,91.77,72.807,17.117,95.856,128,51.829,74.758,5.593,51.829,74.636,0.13,88.212,102.678,3.375,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV141",39.5,79,85.583,5.84,112.94,89.972,9.875,113.28,89.871,21.128,118.322,158,62.752,92.17,7.272,62.752,92.042,0.1,109.46,125.692,3.245,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV142",33.5,67,72.583,5.12,95.79,76.306,8.375,96.07,76.219,17.919,100.349,134,51.457,78.21,6.362,51.457,78.077,0.114,93.387,109.249,5.888,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV143",39.5,79,85.583,5.73,112.94,89.972,9.875,113.28,89.871,21.128,118.322,158,64.51,92.771,7.048,64.51,92.643,0.101,109.532,127.226,8.056,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV144",44,88,95.333,6.24,125.81,100.222,11,126.18,100.109,23.535,131.802,176,66.748,102.702,7.781,66.748,102.581,0.095,121.246,138.887,4.833,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV145",40.5,81,87.75,5.83,115.8,92.25,10.125,116.14,92.146,21.663,121.317,162,63.798,94.504,7.263,63.798,94.381,0.099,111.792,130.167,3.082,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV146",37,74,80.167,5.45,105.8,84.278,9.25,106.11,84.183,19.791,110.833,148,58.679,86.55,6.761,58.679,86.42,0.102,102.599,119.315,2.667,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV147",40.5,81,87.75,5.78,115.8,92.25,10.125,116.14,92.146,21.663,121.317,162,65.625,94.815,7.183,65.625,94.692,0.097,111.959,128.605,2.301,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV148",44.5,89,96.417,6.61,127.24,101.361,11.125,127.62,101.247,23.803,133.299,178,71.113,104.505,8.134,71.113,104.357,0.105,123.899,142.568,8.962,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV149",44.5,89,96.417,6.14,127.24,101.361,11.125,127.62,101.247,23.803,133.299,178,71.153,103.828,7.649,71.153,103.696,0.093,122.016,140.391,2.626,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV150",37,74,80.167,5.45,105.8,84.278,9.25,106.11,84.183,19.791,110.833,148,60.135,88.046,6.591,60.135,87.928,0.102,103.737,119.452,22.66,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV151",43,86,93.167,6.37,122.95,97.944,10.75,123.31,97.834,23,128.806,172,68.055,100.512,7.921,68.055,100.364,0.103,119.345,137.091,2.416,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV152",43,86,93.167,6.02,122.95,97.944,10.75,123.31,97.834,23,128.806,172,69.78,100.745,7.395,69.78,100.624,0.099,118.358,135.507,6.345,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV153",47.5,95,102.917,6.56,135.82,108.194,11.875,136.22,108.072,25.407,142.286,190,77.902,112.245,8.015,77.902,112.106,0.094,131.277,153.702,14.398,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV154",49.5,99,107.25,6.95,141.54,112.75,12.375,141.95,112.623,26.477,148.277,198,78.41,115.505,8.672,78.41,115.373,0.091,136.117,160.973,3.502,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV155",42,84,91,6.07,120.09,95.667,10.5,120.45,95.559,22.465,125.811,168,68.541,98.216,7.488,68.541,98.073,0.11,116.122,134.11,4.513,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV156",28.5,57,61.75,4.29,81.49,64.917,7.125,81.73,64.843,15.244,85.372,114,46.711,68.336,5.195,46.711,68.237,0.109,80.749,94.219,11.032,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV157",45,90,97.5,6.32,128.67,102.5,11.25,129.05,102.384,24.07,134.797,180,72.564,105.405,7.823,72.564,105.282,0.092,124.022,141.236,7.593,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV158",50,100,108.333,7.08,142.97,113.889,12.5,143.39,113.76,26.745,149.775,200,77.233,117.074,8.732,77.233,116.926,0.096,137.87,159.105,9.951,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV159",35.5,71,76.917,5.26,101.51,80.861,8.875,101.81,80.77,18.989,106.34,142,56.169,82.831,6.563,56.169,82.718,0.101,98.46,113.848,1.963,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV160",39,78,84.5,5.93,111.52,88.833,9.75,111.84,88.733,20.861,116.824,156,60.248,91.031,7.373,60.248,90.886,0.113,108.66,127.165,5.379,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV161",48,96,104,6.79,137.25,109.333,12,137.65,109.21,25.675,143.784,192,75.399,112.009,8.467,75.399,111.88,0.095,132.139,153.875,2.216,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV162",45.5,91,98.583,6.65,130.1,103.639,11.375,130.48,103.522,24.338,136.295,182,71.749,106.455,8.174,71.749,106.293,0.113,125.999,150.895,23.536,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV163",38,76,82.333,5.33,108.66,86.556,9.5,108.98,86.458,20.326,113.829,152,62.611,89.153,6.514,62.611,89.041,0.098,104.68,119.938,8.037,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV164",39.5,79,85.583,6.05,112.94,89.972,9.875,113.28,89.871,21.128,118.322,158,61.883,92.332,7.473,61.883,92.185,0.11,110.198,130.746,2.391,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV165",39,78,84.5,5.78,111.52,88.833,9.75,111.84,88.733,20.861,116.824,156,60.421,90.997,7.205,60.421,90.873,0.102,108.17,126.431,1.989,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV166",31,62,67.167,4.78,88.64,70.611,7.75,88.9,70.531,16.582,92.86,124,48.505,72.685,5.914,48.505,72.558,0.118,86.802,101.201,3.029,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV167",38,76,82.333,5.65,108.66,86.556,9.5,108.98,86.458,20.326,113.829,152,59.339,88.667,7.041,59.339,88.534,0.107,105.458,120.194,1.986,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV168",40,80,86.667,5.72,114.37,91.111,10,114.71,91.008,21.396,119.82,160,62.395,93.33,7.141,62.395,93.202,0.096,110.296,125.72,4.306,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV169",45.5,91,98.583,6.5,130.1,103.639,11.375,130.48,103.522,24.338,136.295,182,72.083,106.858,7.958,72.083,106.719,0.099,125.801,144.619,3.056,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV170",37.5,75,81.25,6.03,107.23,85.417,9.375,107.54,85.32,20.058,112.331,150,58.864,88.054,7.502,58.864,87.902,0.111,105.969,123.893,3.027,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV171",35,70,75.833,5.28,100.08,79.722,8.75,100.37,79.632,18.721,104.842,140,56.481,82.891,6.423,56.481,82.779,0.105,98.17,114.446,5.382,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV172",43,86,93.167,6.34,122.95,97.944,10.75,123.31,97.834,23,128.806,172,70.864,102.096,7.533,70.864,101.93,0.123,120.142,138.086,5.84,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV173",44.5,89,96.417,6.37,127.24,101.361,11.125,127.62,101.247,23.803,133.299,178,71.339,103.833,7.938,71.339,103.707,0.091,122.68,141.67,1.922,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV174",41.5,83,89.917,5.94,118.66,94.528,10.375,119.01,94.421,22.198,124.313,166,69.457,99.011,7.098,69.457,98.893,0.095,115.901,131.585,88.216,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV175",37,74,80.167,5.51,105.8,84.278,9.25,106.11,84.183,19.791,110.833,148,59.72,86.461,6.82,59.72,86.327,0.109,102.736,119.089,2.718,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV176",40,80,86.667,5.77,114.37,91.111,10,114.71,91.008,21.396,119.82,160,65.127,93.351,7.19,65.127,93.214,0.104,110.504,132.504,3.735,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV177",33,66,71.5,4.77,94.36,75.167,8.25,94.64,75.082,17.651,98.851,132,52.65,77.155,5.913,52.65,77.051,0.097,91.247,104.692,2.578,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV178",49.5,99,107.25,6.91,141.54,112.75,12.375,141.95,112.623,26.477,148.277,198,79.397,115.499,8.607,79.397,115.362,0.087,135.943,161.416,3.889,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV179",40.5,81,87.75,6.17,115.8,92.25,10.125,116.14,92.146,21.663,121.317,162,61.918,94.502,7.693,61.918,94.355,0.111,112.881,130.011,1.754,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV180",53.5,107,115.917,7.34,152.98,121.861,13.375,153.43,121.723,28.617,160.259,214,84.401,125.416,9.121,84.401,125.282,0.082,147.04,171.555,3.527,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV181",41,82,88.833,5.95,117.23,93.389,10.25,117.58,93.283,21.931,122.815,164,65.442,95.678,7.417,65.442,95.544,0.103,113.372,133.636,3.4,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV182",44,88,95.333,6.6,125.81,100.222,11,126.18,100.109,23.535,131.802,176,66.534,103.447,7.997,66.534,103.284,0.121,122.63,143.274,7.565,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV183",46.5,93,100.75,6.54,132.96,105.917,11.625,133.35,105.797,24.872,139.29,186,73.619,108.497,8.172,73.619,108.365,0.094,127.928,148.665,1.877,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV184",36.5,73,79.083,5.33,104.37,83.139,9.125,104.67,83.045,19.524,109.335,146,57.347,85.16,6.658,57.347,85.041,0.102,101.003,117.655,2.069,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV185",42.5,85,92.083,6.02,121.52,96.806,10.625,121.88,96.696,22.733,127.308,170,70.045,99.207,7.475,70.045,99.071,0.104,117.023,135.027,3.836,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV186",36.5,73,79.083,5.3,104.37,83.139,9.125,104.67,83.045,19.524,109.335,146,58.241,85.369,6.536,58.241,85.25,0.106,100.949,118.494,3.527,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV187",52,104,112.667,7.22,148.69,118.444,13,149.12,118.311,27.814,155.766,208,82.525,121.352,8.979,82.525,121.218,0.092,142.729,163.827,3.202,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV188",47,94,101.833,6.81,134.39,107.056,11.75,134.78,106.935,25.14,140.788,188,75.693,110.399,8.297,75.693,110.249,0.105,130.199,153.448,13.802,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV189",37,74,80.167,5.39,105.8,84.278,9.25,106.11,84.183,19.791,110.833,148,60.845,88.173,6.373,60.845,88.041,0.118,103.445,118.184,11.981,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV190",41,82,88.833,5.79,117.23,93.389,10.25,117.58,93.283,21.931,122.815,164,63.994,95.665,7.21,63.994,95.547,0.096,112.82,129.109,1.842,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV191",42,84,91,6.05,120.09,95.667,10.5,120.45,95.559,22.465,125.811,168,67.289,98.027,7.526,67.289,97.889,0.101,115.924,135.42,1.725,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV192",38.5,77,83.417,5.96,110.09,87.694,9.625,110.41,87.595,20.593,115.326,154,60.38,89.842,7.434,60.38,89.695,0.11,107.574,124.452,1.975,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV193",42,84,91,6.06,120.09,95.667,10.5,120.45,95.559,22.465,125.811,168,67.403,98.819,7.36,67.403,98.679,0.101,116.371,133.63,24.147,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV194",44,88,95.333,6.3,125.81,100.222,11,126.18,100.109,23.535,131.802,176,69.352,102.674,7.866,69.352,102.54,0.099,121.426,141.967,1.795,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV195",47.5,95,102.917,6.85,135.82,108.194,11.875,136.22,108.072,25.407,142.286,190,76.65,110.844,8.535,76.65,110.692,0.098,131.166,156.897,1.855,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV196",45,90,97.5,6.71,128.67,102.5,11.25,129.05,102.384,24.07,134.797,180,76.219,109.095,7.906,76.219,108.969,0.09,127.844,144.709,32.857,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV197",42.5,85,92.083,6.38,121.52,96.806,10.625,121.88,96.696,22.733,127.308,170,65.14,99.175,7.945,65.14,99.032,0.101,118.047,137.652,2.454,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV198",32,64,69.333,4.61,91.5,72.889,8,91.77,72.807,17.117,95.856,128,50.73,74.807,5.691,50.73,74.699,0.108,88.381,103.311,4.073,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV199",47.5,95,102.917,6.81,135.82,108.194,11.875,136.22,108.072,25.407,142.286,190,74.399,110.876,8.477,74.399,110.723,0.097,131.054,150.221,2.005,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV200",27,54,58.5,4.39,77.2,61.5,6.75,77.43,61.431,14.442,80.878,108,40.642,62.998,5.473,40.642,62.878,0.126,76.084,87.435,2.709,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1,"Rand","0.4","Rand"
"Set 2.2 AD (mid SP)_EV201",35.5,71,76.917,5.49,101.51,80.861,8.875,101.81,80.77,18.989,106.34,142,55.014,82.841,6.858,55.014,82.701,0.112,99.172,115.849,1.771,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1.5,"Rand","0.6","Rand"
"Set 2.2 AD (mid SP)_EV202",37,74,80.167,5.51,105.8,84.278,9.25,106.11,84.183,19.791,110.833,148,59.13,86.341,6.869,59.13,86.213,0.106,102.716,119.317,2.202,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1.5,"Rand","0.6","Rand"
"Set 2.2 AD (mid SP)_EV203",37.5,75,81.25,5.49,107.23,85.417,9.375,107.54,85.32,20.058,112.331,150,58.76,87.641,6.804,58.76,87.518,0.101,103.817,120.22,3.118,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1.5,"Rand","0.6","Rand"
"Set 2.2 AD (mid SP)_EV204",46,92,99.667,6.44,131.53,104.778,11.5,131.92,104.659,24.605,137.793,184,73.59,107.351,8.046,73.59,107.215,0.097,126.478,143.537,1.689,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1.5,"Rand","0.6","Rand"
"Set 2.2 AD (mid SP)_EV205",38.5,77,83.417,5.92,110.09,87.694,9.625,110.41,87.595,20.593,115.326,154,59.379,89.829,7.388,59.379,89.692,0.105,107.44,124.491,1.869,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1.5,"Rand","0.6","Rand"
"Set 2.2 AD (mid SP)_EV206",44.5,89,96.417,6.36,127.24,101.361,11.125,127.62,101.247,23.803,133.299,178,71.3,103.831,7.931,71.3,103.7,0.093,122.649,140.491,1.694,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1.5,"Rand","0.6","Rand"
"Set 2.2 AD (mid SP)_EV207",44.5,89,96.417,6.34,127.24,101.361,11.125,127.62,101.247,23.803,133.299,178,70.04,103.843,7.901,70.04,103.726,0.091,122.65,140.586,2.297,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1.5,"Rand","0.6","Rand"
"Set 2.2 AD (mid SP)_EV208",46.5,93,100.75,6.59,132.96,105.917,11.625,133.35,105.797,24.872,139.29,186,72.775,108.498,8.228,72.775,108.359,0.096,128.061,148.953,3.964,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1.5,"Rand","0.6","Rand"
"Set 2.2 AD (mid SP)_EV209",40,80,86.667,5.77,114.37,91.111,10,114.71,91.008,21.396,119.82,160,65.006,93.342,7.197,65.006,93.213,0.102,110.484,127.301,1.919,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1.5,"Rand","0.6","Rand"
"Set 2.2 AD (mid SP)_EV210",44,88,95.333,6.01,125.81,100.222,11,126.18,100.109,23.535,131.802,176,68.012,102.681,7.487,68.012,102.566,0.09,120.482,142.319,5.263,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1.5,"Rand","0.6","Rand"
"Set 2.2 AD (mid SP)_EV211",34.5,69,74.75,5.27,98.65,78.583,8.625,98.94,78.495,18.454,103.344,138,52.805,80.543,6.552,52.805,80.402,0.12,96.198,115.594,3.936,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1.5,"Rand","0.6","Rand"
"Set 2.2 AD (mid SP)_EV212",40.5,81,87.75,5.66,115.8,92.25,10.125,116.14,92.146,21.663,121.317,162,62.552,94.506,7.054,62.552,94.388,0.097,111.325,131.884,2.345,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1.5,"Rand","0.6","Rand"
"Set 2.2 AD (mid SP)_EV213",40.5,81,87.75,5.81,115.8,92.25,10.125,116.14,92.146,21.663,121.317,162,65.249,94.504,7.259,65.249,94.382,0.099,111.772,128.26,1.734,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1.5,"Rand","0.6","Rand"
"Set 2.2 AD (mid SP)_EV214",28.5,57,61.75,4.29,81.49,64.917,7.125,81.73,64.843,15.244,85.372,114,44.032,66.503,5.355,44.032,66.397,0.108,79.242,91.531,1.626,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1.5,"Rand","0.6","Rand"
"Set 2.2 AD (mid SP)_EV215",45,90,97.5,6.39,128.67,102.5,11.25,129.05,102.384,24.07,134.797,180,71.365,105.013,7.985,71.365,104.884,0.095,123.985,145.546,2.293,"Set 2.2 AD (mid SP) Completion Times - Triangular",2,2,"triangular",1000000,NA,NA,1.5,"Rand","0.6","Rand"
