Filepath,Optimistic,CPM,PERT,PERT SD,PERT (99%),BB/2 Mean,BB/2 SD,BB/2 (99%),Lognormal Mean,Lognormal SD,Lognormal (99%),Pessimistic,Sim Min,Sim Mean,Sim SD,Sim Mode,Sim Median,Sim Skewness,Sim 99%,Sim Max,Sim Time (Seconds)
Set 1 SP_EV293,31.5,63,68.25,5.83,90.07,71.75,7.875,90.33,71.669,16.849,126.0,126.0,48.429,77.49,6.321,48.429,77.295,0.172,92.912,108.637,45.02
Set 1 SP_EV294,24.0,48,52.0,4.46,68.62,54.667,6.0,68.83,54.605,12.837,96.0,96.0,34.853,56.025,5.551,34.853,55.897,0.129,69.305,80.232,2.263
Set 1 SP_EV295,30.0,60,65.0,5.45,85.78,68.333,7.5,86.03,68.256,16.047,120.0,120.0,45.978,71.849,6.477,45.978,71.719,0.124,87.33,103.888,8.195
Set 1 SP_EV296,24.0,48,52.0,4.92,68.62,54.667,6.0,68.83,54.605,12.837,96.0,96.0,36.429,57.966,5.52,36.429,57.807,0.16,71.307,83.514,14.1
Set 1 SP_EV297,24.0,48,52.0,4.49,68.62,54.667,6.0,68.83,54.605,12.837,96.0,96.0,34.147,55.992,5.594,34.147,55.86,0.131,69.384,82.683,2.154
Set 1 SP_EV298,37.0,74,80.167,6.34,105.8,84.278,9.25,106.11,84.183,19.791,148.0,148.0,56.213,86.896,7.763,56.213,86.737,0.117,105.435,123.789,8.706
Set 1 SP_EV299,25.5,51,55.25,4.87,72.91,58.083,6.375,73.13,58.018,13.64,102.0,102.0,38.636,61.279,5.729,38.636,61.159,0.119,74.911,88.052,2.824
Set 1 SP_EV300,26.0,52,56.333,5.23,74.34,59.222,6.5,74.56,59.155,13.907,104.0,104.0,42.37,63.941,5.672,42.37,63.744,0.197,77.832,92.011,12.632
Set 1 SP_EV301,34.5,69,74.75,5.53,98.65,78.583,8.625,98.94,78.495,18.454,138.0,138.0,54.258,81.692,6.68,54.258,81.55,0.12,97.673,114.536,13.344
Set 1 SP_EV302,29.5,59,63.917,5.45,84.35,67.194,7.375,84.6,67.119,15.779,118.0,118.0,46.951,71.228,6.057,46.951,71.084,0.143,85.869,106.436,17.371
Set 1 SP_EV303,36.0,72,78.0,5.91,102.94,82.0,9.0,103.24,81.907,19.256,144.0,144.0,51.593,84.759,7.205,51.593,84.614,0.118,102.003,118.815,11.982
Set 1 SP_EV304,28.0,56,60.667,5.0,80.06,63.778,7.0,80.3,63.706,14.977,112.0,112.0,42.504,67.032,6.055,42.504,66.862,0.151,81.58,97.27,3.248
Set 1 SP_EV305,40.0,80,86.667,6.29,114.37,91.111,10.0,114.71,91.008,21.396,160.0,160.0,61.517,93.338,7.846,61.517,93.199,0.105,112.028,131.301,3.154
Set 1 SP_EV306,36.5,73,79.083,5.74,104.37,83.139,9.125,104.67,83.045,19.524,146.0,146.0,56.326,85.169,7.152,56.326,85.045,0.104,102.196,122.429,3.121
Set 1 SP_EV307,32.5,65,70.417,5.48,92.93,74.028,8.125,93.2,73.944,17.384,130.0,130.0,48.493,76.316,6.711,48.493,76.19,0.108,92.3,108.381,2.575
Set 1 SP_EV308,34.5,69,74.75,5.93,98.65,78.583,8.625,98.94,78.495,18.454,138.0,138.0,50.636,81.771,7.05,50.636,81.614,0.129,98.685,115.018,67.335
Set 1 SP_EV309,29.5,59,63.917,4.92,84.35,67.194,7.375,84.6,67.119,15.779,118.0,118.0,47.746,69.883,5.724,47.746,69.717,0.158,83.725,98.021,5.584
Set 1 SP_EV310,36.5,73,79.083,5.93,104.37,83.139,9.125,104.67,83.045,19.524,146.0,146.0,55.432,85.43,7.298,55.432,85.271,0.119,102.862,120.561,13.056
Set 1 SP_EV311,33.5,67,72.583,5.38,95.79,76.306,8.375,96.07,76.219,17.919,134.0,134.0,51.139,78.179,6.713,51.139,78.039,0.114,94.226,109.508,1.577
Set 1 SP_EV312,25.0,50,54.167,4.26,71.48,56.944,6.25,71.69,56.88,13.372,100.0,100.0,37.133,58.448,5.226,37.133,58.312,0.142,70.996,83.773,5.827
Set 1 SP_EV313,34.0,68,73.667,5.44,97.22,77.444,8.5,97.5,77.357,18.186,136.0,136.0,53.123,79.995,6.76,53.123,79.863,0.112,96.108,112.823,3.456
Set 1 SP_EV314,41.0,82,88.833,6.55,117.23,93.389,10.25,117.58,93.283,21.931,164.0,164.0,63.383,96.153,8.051,63.383,96.002,0.112,115.401,134.554,5.916
Set 1 SP_EV315,26.0,52,56.333,4.32,74.34,59.222,6.5,74.56,59.155,13.907,104.0,104.0,40.187,61.115,5.19,40.187,60.99,0.142,73.597,85.097,4.4
Set 1 SP_EV316,36.5,73,79.083,5.7,104.37,83.139,9.125,104.67,83.045,19.524,146.0,146.0,54.902,85.164,7.107,54.902,85.042,0.106,102.107,120.024,2.675
Set 1 SP_EV317,28.5,57,61.75,4.78,81.49,64.917,7.125,81.73,64.843,15.244,114.0,114.0,43.637,67.084,5.714,43.637,66.941,0.14,80.837,95.71,4.529
Set 1 SP_EV318,32.5,65,70.417,5.43,92.93,74.028,8.125,93.2,73.944,17.384,130.0,130.0,49.422,76.143,6.654,49.422,76.002,0.12,92.036,108.292,5.494
Set 1 SP_EV319,36.5,73,79.083,6.03,104.37,83.139,9.125,104.67,83.045,19.524,146.0,146.0,52.257,85.37,7.429,52.257,85.198,0.121,103.144,121.005,7.365
Set 1 SP_EV320,35.0,70,75.833,5.98,100.08,79.722,8.75,100.37,79.632,18.721,140.0,140.0,57.997,84.307,6.919,57.997,84.134,0.144,100.987,118.074,15.02
Set 1 SP_EV321,32.5,65,70.417,5.37,92.93,74.028,8.125,93.2,73.944,17.384,130.0,130.0,48.708,75.834,6.697,48.708,75.691,0.115,91.807,109.613,1.75
Set 1 SP_EV322,44.0,88,95.333,6.68,125.81,100.222,11.0,126.18,100.109,23.535,176.0,176.0,68.183,103.015,8.247,68.183,102.872,0.099,122.686,146.386,15.502
Set 1 SP_EV323,36.0,72,78.0,5.87,102.94,82.0,9.0,103.24,81.907,19.256,144.0,144.0,53.735,84.713,7.198,53.735,84.564,0.113,101.899,119.182,23.238
Set 1 SP_EV324,33.0,66,71.5,5.32,94.36,75.167,8.25,94.64,75.082,17.651,132.0,132.0,49.812,77.0,6.631,49.812,76.876,0.108,92.785,108.292,2.033
Set 1 SP_EV325,25.0,50,54.167,4.11,71.48,56.944,6.25,71.69,56.88,13.372,100.0,100.0,39.064,58.397,5.086,39.064,58.284,0.127,70.569,82.459,3.204
Set 1 SP_EV326,34.0,68,73.667,5.65,97.22,77.444,8.5,97.5,77.357,18.186,136.0,136.0,62.051,85.521,5.801,62.051,85.406,0.109,99.39,113.878,40.957
Set 1 SP_EV327,41.5,83,89.917,6.36,118.66,94.528,10.375,119.01,94.421,22.198,166.0,166.0,63.413,96.831,7.926,63.413,96.698,0.096,115.724,135.584,3.515
Set 1 SP_EV328,31.5,63,68.25,5.38,90.07,71.75,7.875,90.33,71.669,16.849,126.0,126.0,47.857,74.048,6.434,47.857,73.874,0.156,89.579,103.583,7.395
Set 1 SP_EV329,34.5,69,74.75,5.71,98.65,78.583,8.625,98.94,78.495,18.454,138.0,138.0,54.134,81.048,6.919,54.134,80.875,0.144,97.708,116.672,9.426
Set 1 SP_EV330,40.0,80,86.667,6.39,114.37,91.111,10.0,114.71,91.008,21.396,160.0,160.0,60.492,93.657,7.894,60.492,93.492,0.118,112.586,129.301,8.685
Set 1 SP_EV331,39.5,79,85.583,6.43,112.94,89.972,9.875,113.28,89.871,21.128,158.0,158.0,60.763,92.166,8.012,60.763,92.014,0.11,111.288,132.553,1.816
Set 1 SP_EV332,28.5,57,61.75,5.09,81.49,64.917,7.125,81.73,64.843,15.244,114.0,114.0,47.074,69.56,5.692,47.074,69.425,0.134,83.251,96.742,9.853
Set 1 SP_EV333,28.0,56,60.667,4.49,80.06,63.778,7.0,80.3,63.706,14.977,112.0,112.0,44.091,66.701,5.485,44.091,66.582,0.117,79.813,93.15,6.765
Set 1 SP_EV334,29.0,58,62.833,4.72,82.92,66.056,7.25,83.17,65.981,15.512,116.0,116.0,44.743,67.669,5.88,44.743,67.552,0.111,81.687,93.993,2.161
Set 1 SP_EV335,34.0,68,73.667,5.49,97.22,77.444,8.5,97.5,77.357,18.186,136.0,136.0,51.717,79.367,6.839,51.717,79.233,0.108,95.67,113.246,3.4
Set 1 SP_EV336,32.0,64,69.333,4.99,91.5,72.889,8.0,91.77,72.807,17.117,128.0,128.0,50.312,74.673,6.218,50.312,74.554,0.108,89.51,102.667,2.853
Set 1 SP_EV337,33.0,66,71.5,5.47,94.36,75.167,8.25,94.64,75.082,17.651,132.0,132.0,50.272,77.182,6.726,50.272,77.029,0.127,93.3,110.214,5.187
Set 1 SP_EV338,37.0,74,80.167,5.68,105.8,84.278,9.25,106.11,84.183,19.791,148.0,148.0,56.945,87.991,6.943,56.945,87.857,0.103,104.511,121.636,9.853
Set 1 SP_EV339,29.0,58,62.833,5.15,82.92,66.056,7.25,83.17,65.981,15.512,116.0,116.0,42.779,67.716,6.37,42.779,67.555,0.141,82.961,97.272,2.119
Set 1 SP_EV340,35.5,71,76.917,6.03,101.51,80.861,8.875,101.81,80.77,18.989,142.0,142.0,53.797,83.132,7.375,53.797,82.968,0.128,100.809,117.638,5.503
Set 1 SP_EV341,24.5,49,53.083,4.32,70.05,55.806,6.125,70.26,55.742,13.105,98.0,98.0,37.326,57.73,5.095,37.326,57.575,0.165,70.031,83.012,5.049
Set 1 SP_EV342,26.5,53,57.417,4.29,75.77,60.361,6.625,76.0,60.293,14.175,106.0,106.0,40.75,61.851,5.353,40.75,61.748,0.112,74.597,87.447,3.458
Set 1 SP_EV343,26.0,52,56.333,5.24,74.34,59.222,6.5,74.56,59.155,13.907,104.0,104.0,39.401,64.405,5.854,39.401,64.258,0.143,78.451,91.287,10.401
Set 1 SP_EV344,35.0,70,75.833,5.84,100.08,79.722,8.75,100.37,79.632,18.721,140.0,140.0,55.243,83.371,7.083,55.243,83.256,0.096,100.201,116.586,1.919
Set 1 SP_EV345,41.0,82,88.833,6.41,117.23,93.389,10.25,117.58,93.283,21.931,164.0,164.0,63.935,97.068,7.664,63.935,96.923,0.11,115.447,134.337,13.611
Set 1 SP_EV346,35.5,71,76.917,5.79,101.51,80.861,8.875,101.81,80.77,18.989,142.0,142.0,54.41,82.84,7.23,54.41,82.706,0.111,100.069,119.737,3.715
Set 1 SP_EV347,34.0,68,73.667,5.37,97.22,77.444,8.5,97.5,77.357,18.186,136.0,136.0,54.723,79.661,6.55,54.723,79.513,0.127,95.371,113.705,3.691
Set 1 SP_EV348,27.5,55,59.583,4.96,78.63,62.639,6.875,78.86,62.568,14.71,110.0,110.0,42.753,65.313,5.845,42.753,65.16,0.145,79.319,92.266,16.488
Set 1 SP_EV349,30.5,61,66.083,5.57,87.21,69.472,7.625,87.47,69.394,16.314,122.0,122.0,48.574,73.262,6.054,48.574,73.056,0.193,88.081,104.19,13.405
Set 1 SP_EV350,28.5,57,61.75,4.68,81.49,64.917,7.125,81.73,64.843,15.244,114.0,114.0,42.085,66.498,5.843,42.085,66.377,0.116,80.433,95.217,2.175
Set 1 SP_EV351,32.0,64,69.333,5.21,91.5,72.889,8.0,91.77,72.807,17.117,128.0,128.0,47.665,74.667,6.492,47.665,74.536,0.111,90.185,104.579,3.005
Set 1 SP_EV352,37.0,74,80.167,5.61,105.8,84.278,9.25,106.11,84.183,19.791,148.0,148.0,55.318,86.405,6.998,55.318,86.29,0.101,103.083,122.883,2.05
Set 1 SP_EV353,48.0,96,104.0,7.07,137.25,109.333,12.0,137.65,109.21,25.675,192.0,192.0,75.097,112.359,8.639,75.097,112.181,0.117,133.012,153.221,80.731
Set 1 SP_EV354,33.5,67,72.583,5.39,95.79,76.306,8.375,96.07,76.219,17.919,134.0,134.0,51.877,78.707,6.583,51.877,78.576,0.116,94.422,111.607,5.351
Set 1 SP_EV355,41.5,83,89.917,6.36,118.66,94.528,10.375,119.01,94.421,22.198,166.0,166.0,63.321,96.835,7.916,63.321,96.703,0.101,115.701,135.05,5.907
Set 1 SP_EV356,29.0,58,62.833,4.8,82.92,66.056,7.25,83.17,65.981,15.512,116.0,116.0,43.582,67.67,5.987,43.582,67.545,0.115,81.917,94.432,1.618
Set 1 SP_EV357,31.5,63,68.25,5.21,90.07,71.75,7.875,90.33,71.669,16.849,126.0,126.0,51.097,76.105,6.054,51.097,75.972,0.123,90.58,103.112,10.029
Set 1 SP_EV358,43.0,86,93.167,6.71,122.95,97.944,10.75,123.31,97.834,23.0,172.0,172.0,66.102,100.336,8.361,66.102,100.189,0.103,120.257,141.278,18.916
Set 1 SP_EV359,42.5,85,92.083,6.64,121.52,96.806,10.625,121.88,96.696,22.733,170.0,170.0,71.337,102.782,7.691,71.337,102.633,0.113,121.192,140.013,92.061
Set 1 SP_EV360,36.5,73,79.083,5.49,104.37,83.139,9.125,104.67,83.045,19.524,146.0,146.0,58.374,85.74,6.691,58.374,85.612,0.112,101.737,118.156,35.763
Set 1 SP_EV361,32.5,65,70.417,5.26,92.93,74.028,8.125,93.2,73.944,17.384,130.0,130.0,50.973,77.227,6.354,50.973,77.122,0.098,92.33,107.878,6.17
Set 1 SP_EV362,33.5,67,72.583,5.81,95.79,76.306,8.375,96.07,76.219,17.919,134.0,134.0,53.487,79.958,6.824,53.487,79.806,0.127,96.315,113.018,10.158
Set 1 SP_EV363,39.0,78,84.5,6.2,111.52,88.833,9.75,111.84,88.733,20.861,156.0,156.0,58.368,91.038,7.709,58.368,90.885,0.113,109.457,126.498,13.009
Set 1 SP_EV364,35.0,70,75.833,5.62,100.08,79.722,8.75,100.37,79.632,18.721,140.0,140.0,51.449,81.777,6.982,51.449,81.653,0.104,98.398,115.998,2.865
Set 1 SP_EV365,34.0,68,73.667,5.61,97.22,77.444,8.5,97.5,77.357,18.186,136.0,136.0,49.265,79.342,6.987,49.265,79.183,0.119,96.014,115.007,3.726
Set 1 SP_EV366,35.0,70,75.833,5.5,100.08,79.722,8.75,100.37,79.632,18.721,140.0,140.0,54.972,82.458,6.698,54.972,82.327,0.114,98.469,116.746,22.793
Set 1 SP_EV367,35.5,71,76.917,5.76,101.51,80.861,8.875,101.81,80.77,18.989,142.0,142.0,53.551,82.843,7.182,53.551,82.697,0.113,99.989,117.593,1.764
Set 1 SP_EV368,33.0,66,71.5,5.49,94.36,75.167,8.25,94.64,75.082,17.651,132.0,132.0,49.476,77.002,6.841,49.476,76.863,0.116,93.359,112.827,1.737
Set 1 SP_EV369,29.0,58,62.833,4.91,82.92,66.056,7.25,83.17,65.981,15.512,116.0,116.0,46.154,68.97,5.94,46.154,68.821,0.137,83.219,97.626,40.829
Set 1 SP_EV370,32.0,64,69.333,5.2,91.5,72.889,8.0,91.77,72.807,17.117,128.0,128.0,48.725,74.847,6.403,48.725,74.708,0.121,90.172,105.724,16.037
Set 1 SP_EV371,33.5,67,72.583,5.14,95.79,76.306,8.375,96.07,76.219,17.919,134.0,134.0,52.79,78.214,6.367,52.79,78.091,0.114,93.427,114.405,6.305
Set 1 SP_EV372,41.0,82,88.833,6.43,117.23,93.389,10.25,117.58,93.283,21.931,164.0,164.0,66.075,97.933,7.548,66.075,97.774,0.122,115.988,133.598,42.419
Set 1 SP_EV373,47.5,95,102.917,7.15,135.82,108.194,11.875,136.22,108.072,25.407,190.0,190.0,74.865,111.009,8.873,74.865,110.854,0.098,132.172,154.673,6.812
Set 1 SP_EV374,30.5,61,66.083,5.24,87.21,69.472,7.625,87.47,69.394,16.314,122.0,122.0,45.282,71.172,6.526,45.282,71.04,0.119,86.731,101.764,2.057
Set 1 SP_EV375,30.5,61,66.083,4.88,87.21,69.472,7.625,87.47,69.394,16.314,122.0,122.0,47.846,72.015,5.968,47.846,71.897,0.116,86.239,98.691,6.805
Set 1 SP_EV376,38.5,77,83.417,6.15,110.09,87.694,9.625,110.41,87.595,20.593,154.0,154.0,61.454,91.639,7.443,61.454,91.499,0.112,109.435,127.904,46.341
Set 1 SP_EV377,32.0,64,69.333,5.36,91.5,72.889,8.0,91.77,72.807,17.117,128.0,128.0,49.316,74.678,6.691,49.316,74.542,0.116,90.616,106.116,2.311
Set 1 SP_EV378,27.5,55,59.583,5.12,78.63,62.639,6.875,78.86,62.568,14.71,110.0,110.0,45.588,67.699,5.502,45.588,67.536,0.161,81.055,93.299,41.375
Set 1 SP_EV379,40.5,81,87.75,6.4,115.8,92.25,10.125,116.14,92.146,21.663,162.0,162.0,62.098,94.51,7.978,62.098,94.369,0.099,113.467,133.201,3.062
Set 1 SP_EV380,43.0,86,93.167,6.8,122.95,97.944,10.75,123.31,97.834,23.0,172.0,172.0,65.825,100.344,8.477,65.825,100.191,0.106,120.575,141.958,4.433
Set 1 SP_EV381,37.0,74,80.167,5.88,105.8,84.278,9.25,106.11,84.183,19.791,148.0,148.0,55.753,86.338,7.339,55.753,86.204,0.105,103.812,121.079,2.08
Set 1 SP_EV382,36.5,73,79.083,5.74,104.37,83.139,9.125,104.67,83.045,19.524,146.0,146.0,58.929,87.619,6.639,58.929,87.493,0.108,103.495,120.211,26.947
Set 1 SP_EV383,35.5,71,76.917,6.03,101.51,80.861,8.875,101.81,80.77,18.989,142.0,142.0,56.518,84.501,6.986,56.518,84.344,0.13,101.277,120.858,18.805
Set 1 SP_EV384,34.5,69,74.75,5.49,98.65,78.583,8.625,98.94,78.495,18.454,138.0,138.0,50.741,80.504,6.844,50.741,80.382,0.105,96.848,113.016,1.694
Set 1 SP_EV385,35.5,71,76.917,5.51,101.51,80.861,8.875,101.81,80.77,18.989,142.0,142.0,56.478,83.326,6.693,56.478,83.185,0.117,99.311,114.56,7.526
Set 1 SP_EV386,40.5,81,87.75,6.51,115.8,92.25,10.125,116.14,92.146,21.663,162.0,162.0,60.333,95.36,8.0,60.333,95.222,0.1,114.41,135.116,6.29
Set 1 SP_EV387,34.5,69,74.75,5.53,98.65,78.583,8.625,98.94,78.495,18.454,138.0,138.0,53.444,80.504,6.899,53.444,80.371,0.112,96.986,114.329,1.906
Set 1 SP_EV388,30.0,60,65.0,4.83,85.78,68.333,7.5,86.03,68.256,16.047,120.0,120.0,45.198,70.063,5.984,45.198,69.934,0.121,84.361,97.259,4.096
Set 1 SP_EV389,36.0,72,78.0,5.72,102.94,82.0,9.0,103.24,81.907,19.256,144.0,144.0,56.052,84.798,6.91,56.052,84.639,0.126,101.38,117.636,7.332
Set 1 SP_EV390,33.5,67,72.583,5.38,95.79,76.306,8.375,96.07,76.219,17.919,134.0,134.0,52.407,80.388,6.489,52.407,80.283,0.092,95.786,109.8,4.839
Set 1 SP_EV391,28.5,57,61.75,5.18,81.49,64.917,7.125,81.73,64.843,15.244,114.0,114.0,45.296,68.649,5.895,45.296,68.52,0.125,82.769,96.228,5.572
Set 1 SP_EV392,25.5,51,55.25,4.02,72.91,58.083,6.375,73.13,58.018,13.64,102.0,102.0,39.393,59.495,5.021,39.393,59.407,0.104,71.437,82.808,1.995
Set 1 SP_EV393,34.0,68,73.667,5.59,97.22,77.444,8.5,97.5,77.357,18.186,136.0,136.0,49.952,79.793,6.821,49.952,79.651,0.121,96.076,111.745,5.645
Set 1 SP_EV394,36.5,73,79.083,5.97,104.37,83.139,9.125,104.67,83.045,19.524,146.0,146.0,57.834,85.455,7.234,57.834,85.253,0.157,102.917,120.693,4.274
Set 1 SP_EV395,32.5,65,70.417,5.87,92.93,74.028,8.125,93.2,73.944,17.384,130.0,130.0,51.314,77.072,6.758,51.314,76.867,0.176,93.54,111.093,23.098
Set 1 SP_EV396,33.0,66,71.5,5.34,94.36,75.167,8.25,94.64,75.082,17.651,132.0,132.0,48.649,76.998,6.657,48.649,76.863,0.113,92.856,107.981,2.823
Set 1 SP_EV397,33.0,66,71.5,5.45,94.36,75.167,8.25,94.64,75.082,17.651,132.0,132.0,48.511,76.989,6.804,48.511,76.841,0.117,93.235,107.702,1.74
Set 1 SP_EV398,29.0,58,62.833,4.68,82.92,66.056,7.25,83.17,65.981,15.512,116.0,116.0,45.183,67.902,5.783,45.183,67.777,0.117,81.675,94.546,1.928
Set 1 SP_EV399,34.5,69,74.75,5.77,98.65,78.583,8.625,98.94,78.495,18.454,138.0,138.0,50.749,81.272,7.043,50.749,81.125,0.12,98.109,114.937,27.909
Set 1 SP_EV400,36.5,73,79.083,5.68,104.37,83.139,9.125,104.67,83.045,19.524,146.0,146.0,53.595,85.158,7.088,53.595,85.033,0.104,102.052,122.411,2.639
Set 1 SP_EV401,40.5,81,87.75,6.08,115.8,92.25,10.125,116.14,92.146,21.663,162.0,162.0,65.548,97.451,7.056,65.548,97.303,0.12,114.329,133.127,28.498
Set 1 SP_EV402,46.0,92,99.667,6.66,131.53,104.778,11.5,131.92,104.659,24.605,184.0,184.0,72.205,107.338,8.305,72.205,107.193,0.095,127.103,148.425,1.675
Set 1 SP_EV403,39.5,79,85.583,5.92,112.94,89.972,9.875,113.28,89.871,21.128,158.0,158.0,61.535,92.17,7.382,61.535,92.037,0.105,109.796,125.194,1.827
Set 1 SP_EV404,42.0,84,91.0,6.15,120.09,95.667,10.5,120.45,95.559,22.465,168.0,168.0,68.242,100.276,7.383,68.242,100.152,0.091,117.799,136.927,7.809
Set 1 SP_EV405,48.0,96,104.0,6.74,137.25,109.333,12.0,137.65,109.21,25.675,192.0,192.0,78.319,112.351,8.288,78.319,112.206,0.104,132.093,153.347,8.865
Set 1 SP_EV406,54.5,109,118.083,7.41,155.84,124.139,13.625,156.29,123.999,29.152,218.0,218.0,89.632,127.17,9.25,89.632,127.026,0.088,149.136,172.94,2.917
Set 1 SP_EV407,40.5,81,87.75,5.79,115.8,92.25,10.125,116.14,92.146,21.663,162.0,162.0,63.501,94.502,7.241,63.501,94.386,0.093,111.714,129.372,1.76
Set 1 SP_EV408,52.5,105,113.75,7.13,150.12,119.583,13.125,150.56,119.448,28.082,210.0,210.0,82.259,122.513,8.877,82.259,122.378,0.089,143.602,165.739,8.703
Set 1 SP_EV409,38.0,76,82.333,5.93,108.66,86.556,9.5,108.98,86.458,20.326,152.0,152.0,57.543,88.677,7.395,57.543,88.535,0.11,106.325,123.638,1.726
Set 1 SP_EV410,35.0,70,75.833,5.15,100.08,79.722,8.75,100.37,79.632,18.721,140.0,140.0,55.253,81.657,6.415,55.253,81.534,0.104,96.944,112.393,2.402
Set 1 SP_EV411,49.0,98,106.167,6.86,140.11,111.611,12.25,140.52,111.485,26.21,196.0,196.0,74.671,114.32,8.566,74.671,114.182,0.09,134.649,159.606,1.732
Set 1 SP_EV412,42.0,84,91.0,5.94,120.09,95.667,10.5,120.45,95.559,22.465,168.0,168.0,66.046,98.01,7.407,66.046,97.887,0.096,115.656,133.628,2.276
Set 1 SP_EV413,42.0,84,91.0,5.8,120.09,95.667,10.5,120.45,95.559,22.465,168.0,168.0,68.181,97.998,7.232,68.181,97.882,0.092,115.202,131.514,1.868
Set 1 SP_EV414,43.5,87,94.25,6.13,124.38,99.083,10.875,124.75,98.971,23.268,174.0,174.0,70.636,101.626,7.598,70.636,101.495,0.1,119.692,137.496,3.598
Set 1 SP_EV415,46.0,92,99.667,6.4,131.53,104.778,11.5,131.92,104.659,24.605,184.0,184.0,72.822,107.35,7.981,72.822,107.224,0.089,126.301,143.376,7.043
Set 1 SP_EV416,50.0,100,108.333,6.95,142.97,113.889,12.5,143.39,113.76,26.745,200.0,200.0,77.454,116.659,8.659,77.454,116.515,0.093,137.242,157.615,2.658
Set 1 SP_EV417,48.5,97,105.083,6.63,138.68,110.472,12.125,139.09,110.347,25.942,194.0,194.0,79.514,113.522,8.169,79.514,113.383,0.095,132.974,155.509,8.578
Set 1 SP_EV418,28.5,57,61.75,4.37,81.49,64.917,7.125,81.73,64.843,15.244,114.0,114.0,47.452,68.816,5.177,47.452,68.726,0.097,81.135,92.426,51.634
Set 1 SP_EV419,38.0,76,82.333,5.4,108.66,86.556,9.5,108.98,86.458,20.326,152.0,152.0,62.389,90.447,6.507,62.389,90.336,0.095,105.91,120.311,7.179
Set 1 SP_EV420,46.0,92,99.667,6.47,131.53,104.778,11.5,131.92,104.659,24.605,184.0,184.0,73.956,107.631,7.989,73.956,107.496,0.098,126.627,146.64,3.622
Set 1 SP_EV421,38.0,76,82.333,5.49,108.66,86.556,9.5,108.98,86.458,20.326,152.0,152.0,61.6,88.667,6.847,61.6,88.549,0.099,104.964,120.461,3.121
Set 1 SP_EV422,45.5,91,98.583,6.19,130.1,103.639,11.375,130.48,103.522,24.338,182.0,182.0,77.788,110.698,7.089,77.788,110.584,0.093,127.566,144.302,83.003
Set 1 SP_EV423,40.5,81,87.75,5.86,115.8,92.25,10.125,116.14,92.146,21.663,162.0,162.0,62.826,94.493,7.299,62.826,94.36,0.101,111.826,129.8,2.508
Set 1 SP_EV424,41.0,82,88.833,5.97,117.23,93.389,10.25,117.58,93.283,21.931,164.0,164.0,63.953,96.76,7.431,63.953,96.655,0.088,114.394,130.801,17.576
Set 1 SP_EV425,55.5,111,120.25,7.53,158.69,126.417,13.875,159.16,126.274,29.687,222.0,222.0,88.432,129.498,9.375,88.432,129.358,0.087,151.769,175.087,1.758
Set 1 SP_EV426,33.5,67,72.583,5.08,95.79,76.306,8.375,96.07,76.219,17.919,134.0,134.0,49.719,78.426,6.293,49.719,78.308,0.106,93.375,109.445,1.986
Set 1 SP_EV427,33.5,67,72.583,5.08,95.79,76.306,8.375,96.07,76.219,17.919,134.0,134.0,50.763,78.166,6.334,50.763,78.038,0.112,93.269,106.369,1.744
Set 1 SP_EV428,38.5,77,83.417,6.14,110.09,87.694,9.625,110.41,87.595,20.593,154.0,154.0,62.536,91.451,7.144,62.536,91.271,0.145,108.639,129.429,10.803
Set 1 SP_EV429,45.5,91,98.583,6.49,130.1,103.639,11.375,130.48,103.522,24.338,182.0,182.0,73.338,106.166,8.097,73.338,106.036,0.095,125.406,147.24,2.485
Set 1 SP_EV430,37.5,75,81.25,5.44,107.23,85.417,9.375,107.54,85.32,20.058,150.0,150.0,59.406,87.513,6.77,59.406,87.381,0.11,103.708,117.921,1.925
Set 1 SP_EV431,31.0,62,67.167,5.35,88.64,70.611,7.75,88.9,70.531,16.582,124.0,124.0,45.802,72.335,6.664,45.802,72.182,0.123,88.242,105.542,1.516
Set 1 SP_EV432,40.5,81,87.75,5.94,115.8,92.25,10.125,116.14,92.146,21.663,162.0,162.0,62.845,94.506,7.406,62.845,94.389,0.1,112.145,129.992,4.282
Set 1 SP_EV433,43.5,87,94.25,6.26,124.38,99.083,10.875,124.75,98.971,23.268,174.0,174.0,68.93,101.5,7.81,68.93,101.369,0.1,120.125,136.763,2.736
Set 1 SP_EV434,47.0,94,101.833,6.49,134.39,107.056,11.75,134.78,106.935,25.14,188.0,188.0,76.417,109.655,8.107,76.417,109.517,0.094,128.935,148.049,1.844
Set 1 SP_EV435,42.0,84,91.0,6.02,120.09,95.667,10.5,120.45,95.559,22.465,168.0,168.0,67.008,99.033,7.323,67.008,98.919,0.093,116.454,137.167,3.605
Set 1 SP_EV436,46.5,93,100.75,6.42,132.96,105.917,11.625,133.35,105.797,24.872,186.0,186.0,73.614,108.504,7.998,73.614,108.367,0.096,127.537,146.33,3.103
Set 1 SP_EV437,38.5,77,83.417,5.92,110.09,87.694,9.625,110.41,87.595,20.593,154.0,154.0,62.929,90.428,7.137,62.929,90.244,0.149,107.633,127.358,33.708
Set 1 SP_EV438,45.5,91,98.583,6.67,130.1,103.639,11.375,130.48,103.522,24.338,182.0,182.0,69.406,106.554,8.173,69.406,106.392,0.106,126.054,144.335,4.905
Set 1 SP_EV439,41.0,82,88.833,6.03,117.23,93.389,10.25,117.58,93.283,21.931,164.0,164.0,64.511,95.664,7.51,64.511,95.542,0.103,113.584,128.997,2.099
